time, appBundleId, appStorefront, cellularUpload, cellularDownload, wifiUpload, wifiDownload, totalUpload, totalDownload, appGPUTime, appCPUTime, appTimeFgTotal, appTimeBgTotal, DiskTotalWrites, DiskTotalReads, MemoryAverage, MemoryPeak, launchFgCount, launchBgCount, jsonTxt
2022-01-09-092915, com.richi.breeze, 143444, 0, 0, 0, 0, 00, 00, 0, 0, 0, 68, 0, 22241280, 13263936, 13419584, 0, 0, 0
2022-01-09-092915, com.neybox.Pillow, 143444, 0, 0, 85185, 160872, 851850, 1608720, 0, 13, 0, 385, 233472, 287379456, 61576480, 253168000, 0, 1, 0
2022-01-09-092915, com.amazon.Amazon, 143470, 0, 0, 0, 0, 00, 00, 0, 1, 0, 3, 0, 50688000, 22070720, 22218176, 0, 0, 0
2022-01-09-092915, tw.co.americanexpress.amexservice, 143470, 0, 0, 0, 0, 00, 00, 0, 0, 0, 64, 0, 64991232, 25601312, 27330048, 0, 0, 0
2022-01-09-092915, com.ubercab.UberEats, 143444, 0, 0, 14619, 57977, 146190, 579770, 0, 2, 0, 75, 65536, 220307456, 44560448, 45876672, 0, 0, 0
2022-01-09-092915, com.google.Maps, 143444, 0, 0, 1383937, 17524879, 13839370, 175248790, 48, 178, 48, 353, 137318400, 1337765888, 354038288, 1334269056, 0, 1, 0
2022-01-09-092915, com.github.stormbreaker.prod, 143444, 0, 0, 11151, 24463, 111510, 244630, 0, 0, 0, 68, 946176, 55627776, 17302720, 17679552, 0, 0, 0
2022-01-09-092915, com.apple.findmy, 0, 0, 0, 1994313, 38975023, 19943130, 389750230, 116, 31, 61, 10, 16351232, 280260608, 95804185, 378244288, 0, 0, 0
2022-01-09-092915, uk.co.guardian.iphone2, 143444, 0, 0, 140451, 1797464, 1404510, 17974640, 0, 16, 0, 16, 36536320, 399060992, 62375424, 68666880, 0, 1, 0
2022-01-09-092915, com.apple.reminders, 0, 0, 0, 8039, 22837, 80390, 228370, 0, 0, 0, 68, 0, 5804032, 8881280, 9012352, 0, 0, 0
