AppBundledID|AppName|AppSeller
co.alphaexploration.clubhouse|Clubhouse|Alpha Exploration Co.
com.adobe.Adobe-Reader|Adobe Acrobat Reader: Edit PDF|Adobe Inc.
co.momentlens.VintageVideo-iOS|RTRO - Film Camera by Moment|Moment Inc.
ch.protonmail.vpn|ProtonVPN - Fast & Secure VPN|Proton AG
com.adobe.lrmobilephone|Adobe Lightroom: Photo Editor|Adobe Inc.
com.adobe.scan.ios|Adobe Scan: PDF Scanner & OCR|Adobe Inc.
com.ae.iPhoneApp|NO MATCH|
co.momentlens.moment|Pro Camera by Moment|Moment Inc.
com.accuvally.AccuPass|Accupass - Event Platform|Accuvally Inc.
com.alipay.iphoneclient|Alipay - Simplify Your Life|Alipay (Hangzhou) Technology Co., Ltd.
com.amazon.Amazon|Amazon Shopping|AMZN Mobile LLC
com.adobe.ims.accountAccess|Adobe Account Access|Adobe Inc.
com.amazon.AmazonUK|NO MATCH|
com.alibaba.cloudmail|阿里邮箱|ALIBABA
com.apple.AppStore|NO MATCH|
com.apple.Bridge|Watch|Apple Inc.
com.apple.DocumentsApp|Files|Apple Inc.
com.apple.Health|Apple Health|Apple Inc.
com.anchorfminc.Anchor|Anchor|Spotify
com.apple.Home|Home|Apple Inc.
com.apple.Maps|Apple Maps|Apple Inc.
com.apple.Fitness|Fitness|Apple Inc.
com.apple.MobileAddressBook|Contacts|Apple Inc.
com.apple.MobileSMS|Messages|Apple Inc.
com.apple.Music|Apple Music|Apple Inc.
com.apple.Passbook|Apple Wallet|Apple Inc.
com.apple.Numbers|Numbers|Apple Inc.
com.apple.Preferences|NO MATCH|
com.apple.TestFlight|TestFlight|Apple Inc.
com.apple.VoiceMemos|Voice Memos|Apple Inc.
com.apple.calculator|Calculator|Apple Inc.
com.apple.camera|Camera|Apple Inc.
com.apple.Translate|Translate|Apple Inc.
com.apple.facetime|FaceTime|Apple Inc.
com.apple.findmy|Find My|Apple Inc.
com.apple.mobilecal|Calendar|Apple Inc.
com.apple.compass|Compass|Apple Inc.
com.apple.mobilegarageband|GarageBand|Apple Inc.
com.apple.mobilemail|Mail|Apple Inc.
com.apple.mobilenotes|Notes|Apple Inc.
com.apple.mobilephone|Phone|Apple Inc.
com.apple.mobilesafari|Safari|Apple Inc.
com.apple.mobileslideshow|Photos|Apple Inc.
com.apple.mobiletimer|Clock|Apple Inc.
com.apple.podcasts|Apple Podcasts|Apple Inc.
com.apple.reminders|Reminders|Apple Inc.
com.apple.shortcuts|Shortcuts|Apple Inc.
com.apple.stocks|Stocks|Apple Inc.
com.apple.store.Jolly|Apple Store|Apple Inc.
com.apple.sidecar|NO MATCH|
com.apple.siri|NO MATCH|
com.apple.supportapp|Apple Support|Apple Inc.
com.apple.weather|Weather|Apple Inc.
com.apple.webapp|NO MATCH|
com.atebits.Tweetie2|Twitter|Twitter, Inc.
com.autonavi.amap|高德地图-高德打车,导航公交地铁出行|AutoNavi Information Technology Co. Ltd.
com.beeasy.shopee.tw|NO MATCH|
com.builderment.builderment|Builderment|Builderment LLC
com.bravolol.bravoLang.chineseDictionary|Dictionary & Translator|Bravolol Limited
com.burbn.instagram|Instagram|Instagram, Inc.
com.briox.riversip.tech.nasa|Space NASA & Astronomy News|Newsfusion Ltd.
com.cathaybk.cathaybk|國泰世華網路銀行|Cathay United Bank
com.bundle.MoFang|23魔方 - 祖源+健康基因检测|23mofang CO., LTD
